0.9181814277	stock market
0.9164124138	paul ryan
0.9158552492	michael moore
0.9154374564	samantha bee
0.9122199850	tim kaine
0.9057002099	gary johnson
0.9026294103	mark cuban
0.8948994129	supreme court
0.8946404857	united states
0.8940301410	drain swamp
0.8932767259	undo legacy
0.8932535130	mike pence
0.8878374035	electoral college
0.8875634152	release tax returns
0.8859873782	lead unified republican
0.8845270294	simpsons predicted
0.8818853026	spooky story
0.8810192615	ha ha
0.8755079089	world series
0.8751453736	concession speech
0.8573456037	million immigrants
0.8525125391	bernie sanders
0.8499507915	tax returns
0.8491913500	build wall
0.8427110485	checks balances
0.8401676551	experience entry
0.8328703011	barack obama
0.8266362038	white house
0.8222650482	political experience
0.8183441756	child rape
0.8106524311	nuclear war
0.7975353792	electoral votes
0.7908554065	november 8th
0.7896196354	climate change
0.7895214211	grab pussy
0.7785205151	oval office
0.7585624381	god bless
0.7556150758	makes sense
0.7538759648	start ww3
0.7294684014	black voters
0.7264672060	house senate
0.7173520094	release taxes
0.7112210519	repeal obamacare
0.6893696435	civil war
0.6705009908	years ago
0.6705009908	donald trump
0.6565080763	war
0.6503514204	political
0.6490477810	taxes
0.6480593954	republican
0.6461856459	lead
0.6461038487	white
0.6460952317	votes
0.6441459018	black
0.6431879842	fbi
0.6430257577	voters
0.6416508199	world
0.6403818347	states
0.6380204488	court
0.6378620837	rape
0.6359915365	house
0.6308901599	obama
0.6297750595	office
0.6280391071	god
0.6275480273	start
0.6262296038	change
0.6255594614	years
0.6212941183	tax
0.6207055263	bernie
0.6187569355	pence
0.6182278840	nuclear
0.6141801996	experience
0.6095417676	electoral
0.5970459402	wall
0.5956847496	clinton
0.5941735652	trump
0.5930960982	makes
0.5926246660	obamacare
0.5916735652	hillary
0.5908598657	college
0.5908534594	donald
0.5908534594	president
0.5896824667	love
0.5882072015	american
0.5882072015	america
0.5881867927	win
0.5867231942	elect
0.5861889125	fuck
0.5856901051	cubs
0.5854898014	jobs
0.5854259031	life
0.5853237119	woman
0.5852589085	hrc
0.5847726915	impeached
0.5844389125	money
0.5820547025	corrupt
0.5815678444	pay
0.5813892202	lost
0.5797703453	economy
0.5797291810	united
0.5795349137	news
0.5793353741	remember
0.5793004152	true
0.5791045327	predicted
0.5788726652	save
0.5788503542	congress
0.5788019400	election
0.5787688801	crooked
0.5781562500	landslide
0.5774451231	prediction
0.5768201231	vote
0.5764451231	wizard
0.5748305114	country
0.5738791766	fix
0.5738433491	face
0.5735898609	y'all
0.5730841185	happen
0.5714332342	campaign
0.5712431258	florida
0.5706781596	ago
0.5702567792	prison
0.5693779913	history
0.5680901125	candidate
0.5664470824	wrong
0.5647743020	long
0.5647015097	lol
0.5644470824	putin
0.5641032712	mr
0.5640162641	fbi investigation
0.5637025687	bonjour
0.5635243238	party
0.5632738019	chance
0.5631218260	man
0.5626551593	americans
0.5623676713	things
0.5618023412	hate
0.5616023205	care
0.5611150806	voted
0.5610901246	november
0.5607772267	feel
0.5606981200	shit
0.5606580975	republicans
0.5603676713	russia
0.5595242070	today
0.5581981200	media
0.5581580975	popular
0.5575981200	fact
0.5574523205	job
0.5572679317	hai
0.5572247619	senate
0.5548314159	point
0.5547042034	live
0.5545043696	government
0.5544851617	law
0.5538909919	swamp
0.5537912082	paul
0.5537477991	racist
0.5531825817	matter
0.5531820023	polls
0.5530373508	power
0.5524187122	big
0.5524068522	thought
0.5521283896	emails
0.5518193086	stock
0.5503061048	stupid
0.5493734094	state
0.5491572953	wait
0.5487734094	jail
0.5480122022	climate
0.5473700963	release
0.5470952408	turn
0.5460193767	child
0.5457162666	days
0.5455342028	presidency
0.5452368065	undo
0.5451857402	story
0.5449384888	worse
0.5448401855	women
0.5441756530	gop
0.5441746723	bee
0.5439724105	build
0.5434844072	supporters
