0.9166104866	eddie izzard
0.9135098821	jordan henderson
0.9132067089	amber rudd
0.9131265777	gordon brown
0.9125726934	donald tusk
0.9123210112	ruth davidson
0.9091124020	angela eagle
0.9050503280	tony blair
0.9014765182	premier league
0.9013143991	red tape
0.9011195937	nicola sturgeon
0.9003572520	sadiq khan
0.8998582669	jeremy corbyn
0.8990977667	nigel farage
0.8980148483	gisela stuart
0.8974034697	bob geldof
0.8960052179	george soros
0.8942798191	prime minister
0.8929851720	priti patel
0.8910947310	northern ireland
0.8897526855	michael gove
0.8866668021	donald trump
0.8832480140	united kingdom
0.8775506109	george osborne
0.8752268260	ha ha
0.8730194123	james dyson
0.8700380675	magic stars
0.8662014975	jo cox
0.8652862056	general election
0.8645312813	status quo
0.8617836363	john oliver
0.8616949238	single market
0.8611582047	cross box
0.8606660303	working class
0.8592689113	baroness warsi
0.8579144803	short term
0.8497342743	david cameron
0.8470555571	united states
0.8433590314	eurovision song
0.8430029670	boris johnson
0.8427939019	black hole
0.8389013657	emergency budget
0.8357042123	dodgy dave
0.8349200069	public services
0.8339679378	human rights
0.8309937407	andrea leadsom
0.8226502210	freedom movement
0.8213590016	john major
0.8162979366	social media
0.8133198032	vladimir putin states
0.8121154356	sin falling love
0.8116888280	check latest updates hey
0.8107070319	sir james dyson
0.8105386339	european union
0.8039430825	vladimir putin
0.8030862782	common sense
0.8014597271	workers rights
0.7980756633	border controls
0.7953903631	western political
0.7943438065	german finance minister
0.7883275515	gt gt
0.7866466190	called eu referendum blackmail
0.7840452082	free movement
0.7779553936	public sector
0.7637966542	london mayor
0.7624840333	turkey joining
0.7611836727	fishing industry
0.7548084402	u263a u263a
0.7541399851	scottish independence
0.7540875989	french minister
0.7470533794	project fear
0.7364486833	long term
0.7360226707	member states
0.7336215336	job losses
0.7266706438	falling love stay sin
0.7248868491	long
0.7244293268	trade
0.7187003386	love
0.7178871476	june 23rd
0.7174997838	house
0.7168022347	months ago
0.7162157745	common market
0.7157235704	wages rise
0.7156394408	trump president
0.7108342232	immigration
0.7095180387	finance minister
0.7085847327	tory
0.7085649673	play
0.7084663568	climate change
0.7062188117	england
0.7051808998	23rd june
0.7047412914	control
0.7031215083	independence
0.7025023377	makes sense
0.7011649991	trade deals
0.6999585978	industry
0.6994044125	political
0.6989663193	bank england
0.6985311066	join
0.6977503580	veto
0.6968776187	hey check latest updates hey
0.6958714942	open
0.6956804875	news
0.6935414685	answer questions
0.6922631201	cameron
0.6894201728	question
0.6891629719	free
0.6880457463	called
0.6866155629	makes
0.6863756833	boris
0.6861311278	german
0.6847851513	open borders
0.6841563766	women rights
0.6825156135	access single market
0.6822768819	euros
0.6812325313	black
0.6810960132	member
0.6805007751	wages
0.6798602989	french
0.6796904288	bbc
0.6784943906	job
0.6784589817	london
0.6781413104	european
0.6778446960	fear
0.6768575343	president
0.6756869323	border
0.6754536081	ufe0f
0.6736456427	trump
0.6704864009	check latest updates
0.6702597191	public
0.6695202019	rise
0.6693056410	years
0.6692087205	corbyn
0.6682582556	gove
0.6673505224	june
0.6669196960	osborne
0.6667628515	farage
0.6660943790	media
0.6659912788	scottish
0.6658543909	major
0.6656896279	mps
0.6655757745	answer
0.6655757360	budget
0.6640900353	uncontrolled immigration
0.6631913305	election
0.6629793696	wait
0.6624398499	till
0.6613667925	ireland
0.6610670704	working
0.6603095677	bbc news
0.6602809798	women
0.6586144690	turkey
0.6583284641	union
0.6580131424	amber
0.6544402893	mayor
0.6528803656	climate
0.6509614805	workers
0.6507797719	sin
0.6496392217	blackmail
0.6479715384	turkey join
0.6472133763	controls
0.6460546978	song
0.6447753893	rights
0.6439961065	ha
0.6425376536	money
0.6423276438	prices
0.6416042614	sense
0.6410817615	dave
0.6401486730	gt
0.6393737154	market
0.6391398553	economy
0.6380289459	single
0.6377357632	eagle
0.6372994440	red
0.6368696187	hey
0.6356628209	freedom
0.6353856804	tusk
0.6353787330	referendum
0.6340499078	league
0.6329594655	stars
0.6321028845	fishing
0.6318485130	play euros
0.6309410965	warsi
0.6306156997	gisela
0.6291429324	dodgy
0.6279700652	brown
0.6278163030	change
0.6277044130	andrea
0.6270941723	check
0.6267397752	europe
0.6257805887	izzard
0.6242294421	johnson
0.6240500993	uncontrolled
0.6229729008	angela
0.6225985652	eurovision
0.6224007034	spent
0.6221197228	falling love
0.6210215339	access
0.6207840991	blair
0.6191947928	finance
0.6191611735	sector
0.6181305761	months
0.6179381138	bank
0.6174840991	hole
0.6174302139	eddie
0.6170664525	putin
0.6168041577	western
0.6165111412	stuart
0.6164062341	largest
0.6160912513	tony
0.6149865935	john
0.6130164640	fans
0.6123895416	sturgeon
0.6120242304	david
0.6110831060	project
0.6100169267	soros
0.6089057383	ago
0.6079752577	status
0.6078808991	minister
0.6077836504	social
0.6069676764	reduce
0.6061893298	borders
0.6057998279	dyson
0.6049470544	bob
0.6030869303	geldof
0.6030397074	latest
0.6028068138	u263a
0.6018002871	short
0.6002179263	magic
0.5999999386	services
0.5994700340	cross
0.5959124604	states
0.5956584792	class
0.5948989645	joining
0.5925860675	23rd
0.5923451286	general
0.5904880219	hey check latest updates
